#TYPE Microsoft.Azure.Commands.Resources.Models.Authorization.PSRoleDefinition
"Name","Id","IsCustom","Description","Actions","NotActions","DataActions","NotDataActions","AssignableScopes"
"SQL Server Contributor","6d8ee4ec-f05a-4a1d-8b00-a9b17e38b437","False","Lets you manage SQL servers and databases, but not access to them, and not their security -related policies.","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Storage Account Contributor","17d1049b-9a84-46fb-8f53-869881c3d3ab","False","Lets you manage storage accounts, but not access to them.","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Storage Account Key Operator Service Role","81a9662b-bebf-436f-a333-f67b29880f12","False","Storage Account Key Operators are allowed to list and regenerate keys on Storage Accounts","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Storage Blob Data Contributor (Preview)","ba92f5b4-2d11-453d-a403-e96b0029c9fe","False","Allows for read, write and delete access to Azure Storage blob containers and data","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Storage Blob Data Owner (Preview)","b7e6dc6d-f1e8-4753-8033-0f276bb0955b","False","Allows for full access to Azure Storage blob containers and data, including assigning POSIX access control.","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Storage Blob Data Reader (Preview)","2a2b9908-6ea1-4ae2-8e65-a410df84e7d1","False","Allows for read access to Azure Storage blob containers and data","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Storage Queue Data Contributor (Preview)","974c5e8b-45b9-4653-ba55-5f855dd0fb88","False","Allows for read, write, and delete access to Azure Storage queues and queue messages","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Storage Queue Data Reader (Preview)","19e7f393-937e-4f77-808e-94535e297925","False","Allows for read access to Azure Storage queues and queue messages","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Support Request Contributor","cfd33db0-3dd1-45e3-aa9d-cdbdf3b6f24e","False","Lets you create and manage Support requests","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Traffic Manager Contributor","a4b10055-b0c7-44c2-b00f-c7b5b3550cf7","False","Lets you manage Traffic Manager profiles, but does not let you control who has access to them.","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"User Access Administrator","18d7d88d-d35e-4fb5-a5c3-7773c20a72d9","False","Lets you manage user access to Azure resources.","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Virtual Machine Administrator Login","1c0163c0-47e6-4577-8991-ea5c82e286e4","False","View Virtual Machines in the portal and login as administrator","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Virtual Machine Contributor","9980e02c-c2be-4d73-94e8-173b1dc7cf3c","False","Lets you manage virtual machines, but not access to them, and not the virtual network or storage account they're connected to.","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Virtual Machine User Login","fb879df8-f326-4884-b1cf-06f3ad86be52","False","View Virtual Machines in the portal and login as a regular user.","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Web Plan Contributor","2cc479cb-7b4d-49a8-b449-8c00fd0f0a4b","False","Lets you manage the web plans for websites, but not access to them.","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Website Contributor","de139f84-1756-47ae-9be6-808fbbe84772","False","Lets you manage websites (not web plans), but not access to them.","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
